user_id,total_distance,total_duration,stay_distance,stay_duration,linger_distance,linger_duration,walk_distance,walk_duration,run_distance,run_duration,stay %,linger %,walk %,run %,mostcommonactivity
211,4455,67590,7,41755,14,5590,4224,20222,210,23,0.617768901,0.082704542,0.29918627,0.000340287,1
212,91955,678362,9,302746,142,81658,67807,289519,23997,4439,0.446289739,0.120375257,0.4267913,0.006543704,1
213,51458,657454,51,210048,499,93941,46751,352579,4157,886,0.319486991,0.142886042,0.536279344,0.001347623,3
214,37575,702637,42,307255,341,162446,28776,231719,8416,1217,0.437288386,0.231194771,0.329784796,0.001732047,1
215,44707,561926,27,21045,83,17354,31127,521592,13470,1935,0.037451551,0.03088307,0.928221866,0.003443514,3
216,44914,558883,11,143307,94,61219,38158,353430,6651,927,0.256416817,0.109538132,0.632386385,0.001658666,3
217,28503,476990,4,56747,4,28290,10272,389128,18223,2825,0.118968951,0.059309419,0.815799073,0.005922556,3
218,15385,515219,0,28264,63,23570,9798,462811,5524,574,0.054858225,0.045747536,0.898280149,0.001114089,3
219,20885,319797,42,122845,403,43023,20440,153928,0,1,0.38413431,0.134532219,0.481330344,3.12698E-06,3
220,28223,301071,11,134884,199,77942,19348,87320,8665,925,0.448013924,0.258882456,0.290031255,0.003072365,1
221,28228,318436,39,121237,148,32792,26300,163835,1741,572,0.380726425,0.102978306,0.514498989,0.001796279,3
222,16364,251978,7,77826,87,32811,16270,141341,0,0,0.308860297,0.130213749,0.560925954,0,3
223,62006,592416,24,222577,336,79544,52982,288881,8664,1414,0.375710649,0.134270513,0.487632002,0.002386836,3
224,20494,593033,2,84881,26,21107,18194,486549,2272,496,0.143130315,0.035591611,0.820441695,0.000836378,3
225,49306,619911,32,244329,380,20353,32393,352411,16501,2818,0.39413561,0.032832132,0.568486444,0.004545814,3
226,26901,625701,30,229582,240,32304,23608,363077,3023,738,0.366919663,0.051628493,0.580272367,0.001179477,3
227,39392,711077,8,141956,102,69838,30405,497898,8877,1385,0.199635201,0.098214399,0.70020265,0.00194775,3
228,31861,416447,12,118935,242,90183,19806,205161,11801,2168,0.285594565,0.216553367,0.492646123,0.005205945,3
229,15420,373720,0,3295,0,5391,15326,365030,94,4,0.008816761,0.014425238,0.976747297,1.07032E-05,3
230,18188,291252,7,120699,181,59515,14571,110867,3429,171,0.414414322,0.204341944,0.380656614,0.00058712,1
231,45446,578259,0,120085,26,49914,33791,405895,11629,2365,0.207666461,0.086317723,0.701925954,0.004089863,3
232,37582,640538,39,232446,411,63126,33678,344533,3454,433,0.362891819,0.09855153,0.537880657,0.000675994,3
233,51838,678122,6,243356,26,68440,35445,363555,16361,2771,0.358867578,0.100925792,0.536120344,0.004086285,3
234,34456,520734,64,183459,395,39225,27908,296174,6089,1876,0.352308472,0.075326366,0.568762554,0.003602607,3
235,44202,310000,35,127376,99,54037,28820,126935,15248,1652,0.410890323,0.174312903,0.409467742,0.005329032,1
236,10245,269563,0,427,0,47069,10245,222067,0,0,0.001584045,0.174612243,0.823803712,0,3
237,19789,159016,0,61488,11,32270,12215,64142,7563,1116,0.38667807,0.202935554,0.403368215,0.007018162,3
238,1032,114042,0,3592,21,9402,1011,101048,0,0,0.031497168,0.08244331,0.886059522,0,3
239,61600,561067,0,216722,17,75940,51418,266861,10165,1544,0.386267594,0.135349254,0.475631253,0.0027519,3
240,0,0,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0
241,17367,95181,5,43113,136,12743,9997,37737,7229,1588,0.452958048,0.133881762,0.396476187,0.016684002,1
242,33518,303614,0,213557,23,28465,11202,57445,22293,4147,0.703383243,0.093753911,0.189204055,0.01365879,1
243,14828,89304,27,7971,189,1235,13621,79869,991,229,0.08925692,0.013829168,0.894349637,0.002564275,3
244,9974,64601,7,23098,93,14239,4926,26049,4948,1215,0.357548645,0.220414545,0.403229052,0.018807758,3
245,8603,88621,9,19217,21,5955,8573,63449,0,0,0.216844766,0.067196263,0.715958971,0,3
246,741,27737,0,0,0,0,741,27737,0,0,0,0,1,0,3
247,25606,653937,24,239216,278,43982,25304,370738,0,1,0.365808939,0.067257243,0.566932289,1.5292E-06,3
248,31991,650331,42,148522,107,74460,26179,426766,5663,583,0.228379087,0.114495542,0.656228905,0.000896467,3
